Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,19.845715,19.893929,19.715000,19.754642,17.388977,234684800
2014-01-03,19.745001,19.775000,19.301071,19.320715,17.007015,392467600
2014-01-06,19.194643,19.528570,19.057142,19.426071,17.099760,412610800
2014-01-07,19.440001,19.498571,19.211430,19.287144,16.977468,317209200
2014-01-08,19.243214,19.484285,19.238930,19.409286,17.084980,258529600
2014-01-09,19.528570,19.530714,19.119642,19.161428,16.866800,279148800
2014-01-10,19.279642,19.314285,18.968214,19.033571,16.754265,304976000
2014-01-13,18.925358,19.375000,18.924286,19.133215,16.841970,378492800
2014-01-14,19.222143,19.526072,19.202143,19.513929,17.177094,332561600
2014-01-15,19.768572,20.007143,19.702143,19.905714,17.521961,391638800
2014-01-16,19.817858,19.887501,19.702856,19.794643,17.424191,229278000
2014-01-17,19.695715,19.716785,19.282143,19.309643,16.997271,426739600
2014-01-21,19.321072,19.645357,19.300714,19.609644,17.261343,328526800
2014-01-22,19.675358,19.903214,19.564644,19.696787,17.338055,379985200
2014-01-23,19.640715,19.875000,19.457500,19.863571,17.484869,403239200
2014-01-24,19.785713,19.843571,19.455357,19.502501,17.167032,429354800
2014-01-27,19.645357,19.814285,19.491072,19.660713,17.306303,554878800
2014-01-28,18.170000,18.392857,17.931070,18.089287,15.923049,1065523200
2014-01-29,17.998215,18.120358,17.807858,17.883928,15.742289,502810000
2014-01-30,17.947857,18.089287,17.739286,17.849285,15.711792,678501600
2014-01-31,17.684999,17.911785,17.626785,17.878571,15.737570,464797200
2014-02-03,17.950357,18.133215,17.832144,17.911785,15.766812,401464000
2014-02-04,18.066071,18.195000,17.955713,18.171070,15.995044,376681200
2014-02-05,18.091429,18.402857,18.080357,18.306786,16.114508,328344800
2014-02-06,18.216429,18.339287,18.136070,18.303928,16.208445,257765200
2014-02-07,18.620714,18.676071,18.477858,18.559999,16.435190,370280400
2014-02-10,18.523571,18.999643,18.500000,18.892500,16.729624,345559200
2014-02-11,18.950357,19.205357,18.910713,19.141430,16.950064,282256800
2014-02-12,19.176786,19.270000,19.044287,19.139999,16.948790,308100800
2014-02-13,19.094999,19.458929,19.078571,19.443930,17.217928,307398000
2014-02-14,19.373928,19.499287,19.328930,19.428213,17.204008,272924400
2014-02-18,19.500000,19.685356,19.486071,19.499643,17.267260,260251600
2014-02-19,19.455357,19.531786,19.083929,19.191786,16.994650,313768000
2014-02-20,19.035357,19.178572,18.892857,18.969643,16.797930,305858000
2014-02-21,19.028214,19.091785,18.735714,18.758928,16.611349,278784800
2014-02-24,18.683929,18.925714,18.657858,18.841070,16.684086,288909600
2014-02-25,18.906429,18.913214,18.607143,18.645000,16.510462,231952000
2014-02-26,18.700357,18.750000,18.414286,18.476786,16.361506,276217200
2014-02-27,18.469286,18.885000,18.430357,18.845358,16.687880,301882000
2014-02-28,18.895714,19.026787,18.647142,18.794287,16.642658,371968800
2014-03-03,18.693571,18.951786,18.671785,18.848572,16.690735,238781200
2014-03-04,18.964287,19.022858,18.848928,18.972857,16.800787,259140000
2014-03-05,18.961430,19.098213,18.897499,19.012857,16.836206,200062800
2014-03-06,19.028214,19.087143,18.860714,18.955357,16.785284,185488800
2014-03-07,18.967501,18.999287,18.787500,18.944286,16.775480,220729600
2014-03-10,18.870001,19.047501,18.869286,18.961430,16.790668,178584000
